signal_accuracy,signal_balanced_accuracy,signal_macro_f1,signal_coverage_rate,no_signal_rate,number_of_up_signals,number_of_down_signals,signaled_count,threshold,split
0.7008928571428571,0.5482751684602233,0.5454187490534605,0.7156549520766773,0.2843450479233227,32,192,224,0.55,validation
0.7192982456140351,0.5343956471045472,0.5148936170212766,0.36421725239616615,0.6357827476038338,9,105,114,0.6,validation
0.7543859649122807,0.5240863787375415,0.49107142857142855,0.18210862619808307,0.8178913738019169,2,55,57,0.65,validation
0.8095238095238095,0.4722222222222222,0.4473684210526316,0.0670926517571885,0.9329073482428115,1,20,21,0.7,validation
