method,purpose,split,threshold,prediction_band_threshold,accuracy,precision,recall,f1_score,predicted_positive_rate,tn,fp,fn,tp,support_positive,support_negative,predicted_positive_count
Z-score baseline,Simple statistical anomaly detection,train,3.0,,0.9609623241034952,0.9032258064516129,0.25225225225225223,0.39436619718309857,0.01407172038129823,2089,3,83,28,111,2092,31
Z-score baseline,Simple statistical anomaly detection,validation,3.0,,0.8821656050955414,1.0,0.075,0.13953488372093023,0.009554140127388535,274,0,37,3,40,274,3
Z-score baseline,Simple statistical anomaly detection,test,3.0,,0.9984101748807631,1.0,0.5,0.6666666666666666,0.001589825119236884,627,0,1,1,2,627,1
Isolation Forest,Machine-learning anomaly detection,train,0.5994963189964586,,0.9391738538356786,0.3963963963963964,0.3963963963963964,0.3963963963963964,0.050385837494325916,2025,67,67,44,111,2092,111
Isolation Forest,Machine-learning anomaly detection,validation,0.5994963189964586,,0.8789808917197452,1.0,0.05,0.09523809523809523,0.006369426751592357,274,0,38,2,40,274,2
Isolation Forest,Machine-learning anomaly detection,test,0.5994963189964586,,0.9984101748807631,1.0,0.5,0.6666666666666666,0.001589825119236884,627,0,1,1,2,627,1
LSTM deviation method,Time-series expected-vs-actual anomaly detection,train,0.3022190847770887,1.05,0.6218792555605992,0.03717948717948718,0.26126126126126126,0.06509539842873176,0.35406264185201997,1341,751,82,29,111,2092,780
LSTM deviation method,Time-series expected-vs-actual anomaly detection,validation,0.3022190847770887,1.05,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
LSTM deviation method,Time-series expected-vs-actual anomaly detection,test,0.3022190847770887,1.05,0.9936406995230525,0.25,0.5,0.3333333333333333,0.006359300476947536,624,3,1,1,2,627,4
