split,model,mae,rmse,mape,mape_pct
validation,scenario_lstm_forecast,0.2739954053802018,0.42204172658303457,0.019724451805392243,1.9724451805392242
validation,naive_random_walk_forecast,0.18349305048930167,0.32981893141978896,0.013034041902359768,1.3034041902359768
validation,moving_average_drift_forecast,0.19031888400832858,0.3382595929956638,0.013504428667162609,1.350442866716261
validation,ensemble_forecast,0.18549703219386798,0.3256346019974958,0.013197701179962593,1.3197701179962593
test,scenario_lstm_forecast,0.32679869402689393,0.44548507319941716,0.015859631501035552,1.5859631501035552
test,naive_random_walk_forecast,0.19688138358944823,0.2811874675224563,0.009560614027533583,0.9560614027533584
test,moving_average_drift_forecast,0.20627915672244992,0.2889689160748779,0.010004847247780725,1.0004847247780726
test,ensemble_forecast,0.205560029765559,0.292570853681804,0.009981097434992576,0.9981097434992576
