method,purpose,threshold,prediction_band_threshold,accuracy,precision,recall,f1_score,predicted_positive_rate,tn,fp,fn,tp,support_positive,support_negative,predicted_positive_count
Z-score baseline,Simple statistical anomaly detection,3.0,,0.9984101748807631,1.0,0.5,0.6666666666666666,0.001589825119236884,627,0,1,1,2,627,1
Isolation Forest,Machine-learning anomaly detection,0.5994963189964586,,0.9984101748807631,1.0,0.5,0.6666666666666666,0.001589825119236884,627,0,1,1,2,627,1
LSTM deviation method,Time-series expected-vs-actual anomaly detection,0.3022190847770887,1.05,0.9936406995230525,0.25,0.5,0.3333333333333333,0.006359300476947536,624,3,1,1,2,627,4
