date,scenario_lstm_close,naive_random_walk_close,moving_average_drift_close,ensemble_predicted_close,predicted_close,fair_value_anchor,lower_80,upper_80,lower_95,upper_95,forecast_step
2026-05-08,6.404459804086442,6.400000095367432,6.4153814995802385,6.40668505713948,6.40668505713948,6.335323716155535,6.159577251941549,6.653792862337411,5.866058803090897,6.947311311188064,1
2026-05-11,6.409075484743952,6.400000095367432,6.430799870604302,6.413422424242654,6.413422424242654,6.344833832533905,6.063959214763491,6.762885633721817,5.6488614435921845,7.177983404893124,2
2026-05-12,6.41384304243011,6.400000095367432,6.446255297283598,6.420211204395125,6.420211204395125,6.354358224791076,5.992207930845476,6.848214477944774,5.483819064477339,7.356603344312911,3
2026-05-13,6.418758501630345,6.400000095367432,6.4617478686756264,6.427050435262272,6.427050435262272,6.363896914356934,5.93283482486641,6.921266045658134,5.345797927165104,7.50830294335944,4
2026-05-14,6.423818002763871,6.400000095367432,6.477277674051925,6.43393918359088,6.43393918359088,6.373449922693533,5.88138933339753,6.98648903378423,5.225062129117175,7.642816238064585,5
2026-05-15,6.4290177988225725,6.400000095367432,6.49284480289858,6.440876544368447,6.440876544368447,6.383017271295147,5.835588510174451,7.0461645785624425,5.1166180803971475,7.765135008339746,6
2026-05-18,6.434354252107368,6.400000095367432,6.508449344916744,6.447861640006896,6.447861640006896,6.392598981688314,5.794075840430176,7.1016474395836156,5.0174990195619165,7.8782242604518755,7
2026-05-19,6.43982383105921,6.400000095367432,6.52409139002315,6.454893619549947,6.454893619549947,6.402195075431887,5.755967200591621,7.153820038508273,4.925771658249007,7.984015580850886,8
2026-05-20,6.445423107182005,6.400000095367432,6.539771028350637,6.461971657903492,6.461971657903492,6.411805574117081,5.720648242309698,7.203295073497285,4.84009289575774,8.083850420049243,9
2026-05-21,6.451148752054753,6.400000095367432,6.555488350248661,6.469094955088293,6.469094955088293,6.4214304993675215,5.687671463057636,7.25051844711895,4.7594846294099415,8.178705280766644,10
2026-05-22,6.456997534430344,6.400000095367432,6.571243446283817,6.476262735514355,6.476262735514355,6.431069872839295,5.656698862904584,7.295826608124127,4.683208299019846,8.269317172008865,11
2026-05-25,6.462966317418494,6.400000095367432,6.587036407240367,6.483474247276352,6.483474247276352,6.440723716220996,5.627467700177053,7.339480794375651,4.610689967440778,8.356258527111924,12
2026-05-26,6.469052055750371,6.400000095367432,6.602867324120757,6.490728761469491,6.490728761469491,6.4503920512337745,5.599768899260983,7.381688623677999,4.541473081635301,8.43998444130368,13
2026-05-27,6.475251793122552,6.400000095367432,6.618736288146141,6.498025571525224,6.498025571525224,6.4600748996313895,5.573432826876888,7.422618316173559,4.475187354580415,8.520863788470033,14
2026-05-28,6.481562659618005,6.400000095367432,6.634643390756913,6.505363992566224,6.505363992566224,6.469772283200254,5.54831957831677,7.462408406815678,4.411527514113558,8.59920047101889,15
2026-05-29,6.487981869201867,6.400000095367432,6.650588723613224,6.512743360780084,6.512743360780084,6.479484223759486,5.52431213998836,7.501174581571809,4.350238344585749,8.67524837697442,16
2026-06-01,6.494506717289842,6.400000095367432,6.666572378595523,6.520163032811175,6.520163032811175,6.489210743160954,5.501311451065552,7.539014614556798,4.291103883386857,8.749222182235494,17
2026-06-02,6.501134578387116,6.400000095367432,6.682594447805075,6.527622385170149,6.527622385170149,6.498951863289332,5.47923275673266,7.576012013607638,4.23393944321874,8.821305327121557,18
2026-06-03,6.507862903795754,6.400000095367432,6.698655023564497,6.535120813660581,6.535120813660581,6.508707606062145,5.4580028626426635,7.612238764678498,4.178585606037856,8.891656021283305,19
2026-06-04,6.514689219388572,6.400000095367432,6.714754198418288,6.542657732822227,6.542657732822227,6.5184779934298165,5.437558032435527,7.647757433208927,4.124903623874818,8.960411841769636,20
2026-06-05,6.521611123447575,6.400000095367432,6.730892065133364,6.550232575390457,6.550232575390457,6.528263047375724,5.417842353256535,7.682622797524379,4.072771843532395,9.02769330724852,21
2026-06-08,6.528626284565083,6.400000095367432,6.747068716699594,6.557844791771353,6.557844791771353,6.538062789916242,5.398806447895598,7.716883135647107,4.022082889607569,9.093606693935136,22
2026-06-09,6.535732439605719,6.400000095367432,6.763284246330331,6.565493849532038,6.565493849532038,6.547877243100795,5.3804064477071805,7.750581251356895,3.9727414180353686,9.158246281028706,23
2026-06-10,6.542927391727511,6.400000095367432,6.7795387474629525,6.5731792329058,6.5731792329058,6.557706429011908,5.362603164517807,7.783755301293793,3.924662304963203,9.221696160848397,24
2026-06-11,6.550209008460371,6.400000095367432,6.795832313759396,6.580900442311573,6.580900442311573,6.567550369765253,5.345361416321917,7.816439468301229,3.8777691720686533,9.284031712554492,25
2026-06-12,6.557575219840311,6.400000095367432,6.812165039106706,6.588656993887344,6.588656993887344,6.5774090875097,5.328649473222009,7.84866451455268,3.8319931749330447,9.345320812841644,26
2026-06-15,6.565024016597763,6.400000095367432,6.828537017617567,6.596448419037124,6.596448419037124,6.58728260442737,5.312438598388175,7.880458239686073,3.7872719992837633,9.405624838790484,27
2026-06-16,6.5725534483984385,6.400000095367432,6.844948343630846,6.6042742639910355,6.6042742639910355,6.597170942733678,5.296702664837595,7.9118458631444755,3.743549023101077,9.464999504880995,28
2026-06-17,6.580161622135205,6.400000095367432,6.861399111712143,6.612134089378186,6.612134089378186,6.60707412467739,5.281417833258038,7.942850345498334,3.7007726122627944,9.523495566493578,29
2026-06-18,6.5878467002695045,6.400000095367432,6.877889416654332,6.620027469811925,6.620027469811925,6.61699217254067,5.266562279386932,7.973492660236918,3.6588955245926447,9.581159415031205,30
2026-06-19,6.595606899220863,6.400000095367432,6.894419353478103,6.627953993487129,6.627953993487129,6.6269251086391305,5.252115961928944,8.003792025045314,3.6178744025851337,9.638033584389124,31
2026-06-22,6.603440487803114,6.400000095367432,6.910989017432516,6.6359132617891925,6.6359132617891925,6.636872955321881,5.23806042387254,8.033766099705845,3.5776693391873136,9.694157184391072,32
2026-06-23,6.611345785705971,6.400000095367432,6.927598503995547,6.643904888914339,6.643904888914339,6.64683573497158,5.2243786215063075,8.06343115632237,3.5382435041690647,9.749566273659612,33
2026-06-24,6.619321162020633,6.400000095367432,6.944247908874639,6.651928501500965,6.651928501500965,6.656813470004487,5.211054776551025,8.092802226450905,3.499562821053258,9.804294181948672,34
2026-06-25,6.627365033808149,6.400000095367432,6.960937328007252,6.659983738271686,6.659983738271686,6.666806182870511,5.1980742476940875,8.121893228849284,3.461595686481982,9.85837179006139,35
2026-06-26,6.635475864709311,6.400000095367432,6.977666857561415,6.668070249685751,6.668070249685751,6.676813896053258,5.185423418498164,8.150717080873338,3.4243127253942482,9.911827773977254,36
2026-06-29,6.643652163594844,6.400000095367432,6.994436593936287,6.676187697601566,6.676187697601566,6.686836632070088,5.1730895991993595,8.179285796003773,3.3876865765793545,9.964688818623777,37
2026-06-30,6.651892483254758,6.400000095367432,7.011246633762702,6.6843357549489895,6.6843357549489895,6.696874413472162,5.1610609403439325,8.207610569554046,3.351691704119236,10.016979805778742,38
2026-07-01,6.660195419125705,6.400000095367432,7.0280970739037345,6.69251410541116,6.69251410541116,6.7069272628444905,5.149326356561458,8.235701854260862,3.3163042309961295,10.06872397982619,39
2026-07-02,6.668559608055239,6.400000095367432,7.044988011455254,6.700722443115536,6.700722443115536,6.7169952028059905,5.1378754590542215,8.26356942717685,3.2815017917588327,10.119943094472239,40
