signal_accuracy,signal_balanced_accuracy,signal_macro_f1,signal_coverage_rate,no_signal_rate,number_of_up_signals,number_of_down_signals,signaled_count,threshold,split
0.5601659751037344,0.5293850454227813,0.5101626016260162,0.7484472049689441,0.2515527950310559,58,183,241,0.55,validation
0.558282208588957,0.5275494672754947,0.4967409948542024,0.5062111801242236,0.4937888198757764,33,130,163,0.6,validation
0.5714285714285714,0.5286764705882353,0.4809126810004388,0.2826086956521739,0.7173913043478262,13,78,91,0.65,validation
0.6041666666666666,0.5464285714285715,0.5104669887278583,0.14906832298136646,0.8509316770186335,7,41,48,0.7,validation
