liquidity_threshold,prediction_band_threshold,f0_5_score,target_positive_rate,positive_rate_gap,positive_rate_over_cap,accuracy,precision,recall,f1_score,predicted_positive_rate,tn,fp,fn,tp,support_positive,support_negative,predicted_positive_count
0.3022190847770887,1.05,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.3022190847770887,1.0509042075818684,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.3177389680318838,1.05,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.3177389680318838,1.0509042075818684,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.3268974630103982,1.05,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.3268974630103982,1.0509042075818684,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.34779318219545596,1.05,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.34779318219545596,1.0509042075818684,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.3609393972302402,1.05,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.3609393972302402,1.0509042075818684,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.3850395306116996,1.05,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.3850395306116996,1.0509042075818684,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.3953521477432709,1.05,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.3953521477432709,1.0509042075818684,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.41645866275936816,1.05,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.41645866275936816,1.0509042075818684,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.43844113524579414,1.05,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.43844113524579414,1.0509042075818684,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.45780791680110744,1.05,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.45780791680110744,1.0509042075818684,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.4811048938769482,1.05,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.4811048938769482,1.0509042075818684,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.5048859132929308,1.05,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.5048859132929308,1.0509042075818684,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.5279516477494345,1.05,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.5279516477494345,1.0509042075818684,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.5612792666979106,1.05,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.5612792666979106,1.0509042075818684,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.5966071632359615,1.05,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
0.5966071632359615,1.0509042075818684,0.4166666666666667,0.08011602851336862,0.03553004125222212,0.0,0.8789808917197452,0.5714285714285714,0.2,0.2962962962962963,0.044585987261146494,268,6,32,8,40,274,14
