method,purpose,split,threshold,prediction_band_threshold,accuracy,precision,recall,f1_score,predicted_positive_rate,tn,fp,fn,tp,support_positive,support_negative,predicted_positive_count
Z-score baseline,Simple statistical anomaly detection,train,3.0,,0.9894179894179894,0.8846153846153846,0.5227272727272727,0.6571428571428571,0.01146384479717813,2221,3,21,23,44,2224,26
Z-score baseline,Simple statistical anomaly detection,validation,3.0,,0.7832817337461301,0.8421052631578947,0.1927710843373494,0.3137254901960784,0.058823529411764705,237,3,67,16,83,240,19
Z-score baseline,Simple statistical anomaly detection,test,3.0,,0.9938176197836167,0.8571428571428571,0.6666666666666666,0.75,0.010819165378670788,637,1,3,6,9,638,7
Isolation Forest,Machine-learning anomaly detection,train,0.5479510902043508,,0.9523809523809523,0.21929824561403508,0.5681818181818182,0.31645569620253167,0.05026455026455026,2135,89,19,25,44,2224,114
Isolation Forest,Machine-learning anomaly detection,validation,0.5479510902043508,,0.8018575851393189,0.8275862068965517,0.2891566265060241,0.42857142857142855,0.08978328173374613,235,5,59,24,83,240,29
Isolation Forest,Machine-learning anomaly detection,test,0.5479510902043508,,0.9690880989180835,0.2608695652173913,0.6666666666666666,0.375,0.03554868624420402,621,17,3,6,9,638,23
LSTM deviation method,Time-series expected-vs-actual anomaly detection,train,0.9614516803682691,1.05,0.9312169312169312,0.1056338028169014,0.3409090909090909,0.16129032258064516,0.06261022927689594,2097,127,29,15,44,2224,142
LSTM deviation method,Time-series expected-vs-actual anomaly detection,validation,0.9614516803682691,1.05,0.7863777089783281,0.7916666666666666,0.2289156626506024,0.35514018691588783,0.07430340557275542,235,5,64,19,83,240,24
LSTM deviation method,Time-series expected-vs-actual anomaly detection,test,0.9614516803682691,1.05,0.9520865533230294,0.21052631578947367,0.8888888888888888,0.3404255319148936,0.05873261205564142,608,30,1,8,9,638,38
