split,model,mae,rmse,mape,mape_pct
validation,scenario_lstm_forecast,0.24679833612624247,0.3491688643759932,0.03614182032425294,3.614182032425294
validation,naive_random_walk_forecast,0.15923569794673068,0.24312193674005672,0.02375848911359617,2.375848911359617
validation,moving_average_drift_forecast,0.17052504796309836,0.25064560437584804,0.025421358896889523,2.5421358896889523
validation,ensemble_forecast,0.1717072958717309,0.2531002101195724,0.0255081450764211,2.55081450764211
test,scenario_lstm_forecast,0.16156717248865077,0.21138488468223957,0.0246698320768216,2.46698320768216
test,naive_random_walk_forecast,0.10524646398183458,0.15025152305513992,0.01653148781899985,1.653148781899985
test,moving_average_drift_forecast,0.11319223589952587,0.15376346173221273,0.017742103937203168,1.7742103937203169
test,ensemble_forecast,0.11441251686050333,0.1536984137539321,0.01784155294847476,1.7841552948474761
