fold,train_period_start,train_period_end,validation_period_start,validation_period_end,rows,mae,rmse,mape,mape_pct,directional_accuracy,balanced_directional_accuracy,interval_95_coverage
1,2012-06-15,2023-12-15,2023-12-18,2024-11-12,215,0.09956353066542555,0.13011419459576265,0.018322944890863994,1.8322944890863995,0.4325581395348837,0.44198805136305136,0.9953488372093023
2,2012-06-15,2024-11-12,2024-11-13,2025-10-08,215,0.13190224106765713,0.1808078795685908,0.017274398523000136,1.7274398523000136,0.3813953488372093,0.37407591122868905,0.9720930232558139
3,2012-06-15,2025-10-08,2025-10-09,2026-08-28,214,0.10353382117422703,0.13532967203291266,0.01660516074503713,1.660516074503713,0.4272300469483568,0.40211940961217524,0.9953271028037384
