method,purpose,threshold,prediction_band_threshold,accuracy,precision,recall,f1_score,predicted_positive_rate,tn,fp,fn,tp,support_positive,support_negative,predicted_positive_count
Z-score baseline,Simple statistical anomaly detection,3.0,,0.9984472049689441,1.0,0.5,0.6666666666666666,0.0015527950310559005,642,0,1,1,2,642,1
Isolation Forest,Machine-learning anomaly detection,0.592716786828443,,0.9984472049689441,1.0,0.5,0.6666666666666666,0.0015527950310559005,642,0,1,1,2,642,1
LSTM deviation method,Time-series expected-vs-actual anomaly detection,0.31382447195223045,1.9873010910631337,0.9891304347826086,0.14285714285714285,0.5,0.2222222222222222,0.010869565217391304,636,6,1,1,2,642,7
