date,scenario_lstm_close,naive_random_walk_close,moving_average_drift_close,ensemble_predicted_close,predicted_close,fair_value_anchor,lower_80,upper_80,lower_95,upper_95,forecast_step
2026-08-31,4.999970038847962,5.0,4.985453972786176,4.994842025646212,4.994842025646212,5.165667961598737,4.768174551177944,5.221509500114479,4.574267483522645,5.415416567769778,1
2026-09-01,4.999708725687522,5.0,4.970950262953893,4.989638120693936,4.989638120693936,5.157925268128197,4.669081904152056,5.310194337235816,4.394855899233932,5.58442034215394,2
2026-09-02,4.999223580590959,5.0,4.956488747393194,4.984390221534415,4.984390221534415,5.1501941799916855,4.591790639332055,5.376989803736775,4.25593374620638,5.71284669686245,3
2026-09-03,4.998521889986467,5.0,4.942069303352275,4.979100203168959,4.979100203168959,5.142474679794252,4.525765254232424,5.432435152105493,4.1379511189218245,5.820249287416093,4
2026-09-04,4.997610713901897,5.0,4.927691808436442,4.973769881115788,4.973769881115788,5.134766750167018,4.466925999916545,5.4806137623150315,4.033336615321643,5.914203146909934,5
2026-09-07,4.996496892983952,5.0,4.91335614060707,4.968401013257779,4.968401013257779,5.127070373767138,4.413181359525191,5.523620666990367,3.9382079862503696,5.998594040265188,6
2026-09-08,4.995187055299782,5.0,4.899062178180574,4.9629953016328985,4.9629953016328985,5.119385533277762,4.3632895338827815,5.5627010693830155,3.8502596554090807,6.075730947856716,7
2026-09-09,4.9936876229277285,5.0,4.8848097998273685,4.957554394169135,4.957554394169135,5.111712211407995,4.316441961085373,5.598666827252896,3.7679899512491284,6.147118837089141,8
2026-09-10,4.992004818343755,5.0,4.870598884570839,4.952079886365633,4.952079886365633,5.10405039089286,4.272077462960832,5.632082309770434,3.6903562599949313,6.213803512736334,9
2026-09-11,4.990144670609896,5.0,4.8564293117863215,4.946573322921702,4.946573322921702,5.096400054493259,4.229787832123914,5.66335881371949,3.6165998439288005,6.276546801914603,10
2026-09-14,4.988113021370867,5.0,4.8423009612000705,4.941036199315316,4.941036199315316,5.0887611849959296,4.189265234326611,5.69280716430402,3.5461482467159215,6.3359241519147105,11
2026-09-15,4.985915530664773,5.0,4.828213712888242,4.935469963332668,4.935469963332668,5.081133765213414,4.150270798927949,5.720669127737388,3.478557012676598,6.3923829139887385,12
2026-09-16,4.983557682553685,5.0,4.814167447275875,4.929876016550303,4.929876016550303,5.073517777984013,4.112614814875041,5.747137218225564,3.413472939768992,6.446279093331613,13
2026-09-17,4.9810447905796735,5.0,4.800162045135879,4.924255715771281,4.924255715771281,5.065913206171754,4.076143685585696,5.772367745956866,3.350609873545568,6.497901557996994,14
2026-09-18,4.978382003051694,5.0,4.786197387588016,4.918610374416828,4.918610374416828,5.058320032666345,4.040731020674335,5.7964897281593215,3.289732176933443,6.547488571900214,15
2026-09-21,4.975574308168586,5.0,4.772273356097899,4.912941263874819,4.912941263874819,5.0507382403831445,4.006271366001751,5.819611161747887,3.2306430953805503,6.5952394323690875,16
2026-09-22,4.972626538983253,5.0,4.758389832475976,4.907249614806455,4.907249614806455,5.043167812263115,3.972675675681795,5.841823553931114,3.1731763541852036,6.641322875427706,17
2026-09-23,4.969543378212956,5.0,4.74454669887654,4.901536618412422,4.901536618412422,5.035608731272791,3.93986796878678,5.8632052680380635,3.1171899540324124,6.685883282792432,18
2026-09-24,4.966329362900481,5.0,4.730743837796717,4.8958034276597875,4.8958034276597875,5.028060980404236,3.907782812665025,5.88382404265455,3.062561500317268,6.729045355002307,19
2026-09-25,4.962988888930816,5.0,4.716981132075473,4.890051158470857,4.890051158470857,5.020524542675009,3.87636339607237,5.903738920869343,3.0091846268825666,6.770917690059147,20
2026-09-28,4.959526215407805,5.0,4.7032584648926195,4.884280890875156,4.884280890875156,5.012999401128121,3.845560031539852,5.92300175021046,2.9569662162225163,6.811595565527796,21
2026-09-29,4.9559454688951226,5.0,4.6895757197678245,4.878493670125705,4.878493670125705,5.005485538832,3.81532897564037,5.94165836461104,2.9058242095688027,6.8511631306826075,22
2026-09-30,4.952250647525787,5.0,4.675932780559618,4.872690507780664,4.872690507780664,4.997982938880453,3.785631488416068,5.95974952714526,2.8556858607616475,6.88969515479968,23
2026-10-01,4.9484456249842665,5.0,4.662329531464412,4.866872382751451,4.866872382751451,4.990491584392627,3.7564330752862745,5.977311690216627,2.806486328736632,6.9272584367662695,24
2026-10-02,4.944534154365144,5.0,4.648765857015512,4.861040242318342,4.861040242318342,4.983011458512972,3.7277028699770067,5.994377614659678,2.7581675317005065,6.9639129529361785,25
2026-10-05,4.94051987191216,5.0,4.635241642082143,4.8551950031145985,4.8551950031145985,4.9755425444112005,3.6994131277041102,6.010976878525087,2.710677205906179,6.999712800323017,26
