signal_accuracy,signal_balanced_accuracy,signal_macro_f1,signal_coverage_rate,no_signal_rate,number_of_up_signals,number_of_down_signals,signaled_count,threshold,split
0.717948717948718,0.5280015161565431,0.5120687476304815,0.7289719626168224,0.2710280373831776,21,213,234,0.55,validation
0.7518796992481203,0.5056366047745358,0.48200165230732916,0.4143302180685358,0.5856697819314642,8,125,133,0.6,validation
0.75,0.4935897435897436,0.48282828282828283,0.19937694704049844,0.8006230529595015,6,58,64,0.65,validation
0.8571428571428571,0.5,0.46153846153846156,0.06542056074766354,0.9345794392523364,0,21,21,0.7,validation
