method,purpose,split,threshold,prediction_band_threshold,accuracy,precision,recall,f1_score,predicted_positive_rate,tn,fp,fn,tp,support_positive,support_negative,predicted_positive_count
Z-score baseline,Simple statistical anomaly detection,train,3.0,,0.9450354609929078,0.90625,0.19333333333333333,0.31868131868131866,0.014184397163120567,2103,3,121,29,150,2106,32
Z-score baseline,Simple statistical anomaly detection,validation,3.0,,0.9968944099378882,1.0,0.6666666666666666,0.8,0.006211180124223602,319,0,1,2,3,319,2
Z-score baseline,Simple statistical anomaly detection,test,3.0,,0.9984472049689441,1.0,0.5,0.6666666666666666,0.0015527950310559005,642,0,1,1,2,642,1
Isolation Forest,Machine-learning anomaly detection,train,0.592716786828443,,0.9162234042553191,0.3274336283185841,0.24666666666666667,0.2813688212927757,0.050088652482269506,2030,76,113,37,150,2106,113
Isolation Forest,Machine-learning anomaly detection,validation,0.592716786828443,,0.9937888198757764,1.0,0.3333333333333333,0.5,0.003105590062111801,319,0,2,1,3,319,1
Isolation Forest,Machine-learning anomaly detection,test,0.592716786828443,,0.9984472049689441,1.0,0.5,0.6666666666666666,0.0015527950310559005,642,0,1,1,2,642,1
LSTM deviation method,Time-series expected-vs-actual anomaly detection,train,0.31382447195223045,1.9873010910631337,0.5390070921985816,0.031578947368421054,0.2,0.05454545454545454,0.42109929078014185,1186,920,120,30,150,2106,950
LSTM deviation method,Time-series expected-vs-actual anomaly detection,validation,0.31382447195223045,1.9873010910631337,0.9968944099378882,1.0,0.6666666666666666,0.8,0.006211180124223602,319,0,1,2,3,319,2
LSTM deviation method,Time-series expected-vs-actual anomaly detection,test,0.31382447195223045,1.9873010910631337,0.9891304347826086,0.14285714285714285,0.5,0.2222222222222222,0.010869565217391304,636,6,1,1,2,642,7
