method,purpose,split,threshold,prediction_band_threshold,accuracy,precision,recall,f1_score,predicted_positive_rate,tn,fp,fn,tp,support_positive,support_negative,predicted_positive_count
Z-score baseline,Simple statistical anomaly detection,train,3.0,,0.975010771219302,0.9230769230769231,0.3,0.4528301886792453,0.01120206807410599,2239,2,56,24,80,2241,26
Z-score baseline,Simple statistical anomaly detection,validation,3.0,,0.8731117824773413,0.8461538461538461,0.21568627450980393,0.34375,0.03927492447129909,278,2,40,11,51,280,13
Z-score baseline,Simple statistical anomaly detection,test,3.0,,0.9939577039274925,0.8,0.5714285714285714,0.6666666666666666,0.0075528700906344415,654,1,3,4,7,655,5
Isolation Forest,Machine-learning anomaly detection,train,0.5471432184948338,,0.9470056010340371,0.3162393162393162,0.4625,0.3756345177664975,0.05040930633347695,2161,80,43,37,80,2241,117
Isolation Forest,Machine-learning anomaly detection,validation,0.5471432184948338,,0.851963746223565,0.5833333333333334,0.13725490196078433,0.2222222222222222,0.03625377643504532,275,5,44,7,51,280,12
Isolation Forest,Machine-learning anomaly detection,test,0.5471432184948338,,0.9682779456193353,0.18181818181818182,0.5714285714285714,0.27586206896551724,0.03323262839879154,637,18,3,4,7,655,22
LSTM deviation method,Time-series expected-vs-actual anomaly detection,train,2.5658329770229638,1.05,0.9379577768203361,0.18627450980392157,0.2375,0.2087912087912088,0.043946574752261956,2158,83,61,19,80,2241,102
LSTM deviation method,Time-series expected-vs-actual anomaly detection,validation,2.5658329770229638,1.05,0.8670694864048338,0.6842105263157895,0.2549019607843137,0.37142857142857144,0.05740181268882175,274,6,38,13,51,280,19
LSTM deviation method,Time-series expected-vs-actual anomaly detection,test,2.5658329770229638,1.05,0.9033232628398792,0.047619047619047616,0.42857142857142855,0.08571428571428572,0.09516616314199396,595,60,4,3,7,655,63
