feature,raw_contribution,contribution
volume_ratio_20d,-0.3404024869627843,0.8243362010549946
return_1d,-0.027058920634602017,0.06552727637097162
atr_14,-0.01785000237053947,0.04322648542976673
volatility_20,0.016173542150825795,0.03916668298511044
moving_average_gap,0.0053530828099487456,0.012963301140535977
oc_change,-0.0031457358935790634,0.0076178761182752715
momentum_10,0.0019454371963196248,0.004711170949760214
rsi_14,-0.0007038509239783264,0.001704481662158875
range_pct,-0.0003082707322973337,0.0007465242884262702
