signal_accuracy,signal_balanced_accuracy,signal_macro_f1,signal_coverage_rate,no_signal_rate,number_of_up_signals,number_of_down_signals,signaled_count,threshold,split
,,,0.0,1.0,0,0,0,0.55,validation
,,,0.0,1.0,0,0,0,0.6,validation
,,,0.0,1.0,0,0,0,0.65,validation
,,,0.0,1.0,0,0,0,0.7,validation
