date,scenario_lstm_close,naive_random_walk_close,moving_average_drift_close,ensemble_predicted_close,predicted_close,fair_value_anchor,lower_80,upper_80,lower_95,upper_95,forecast_step
2026-05-08,20.709954590203917,20.700000762939453,20.762194008451615,20.725298037627024,20.725298037627024,20.341794979656928,20.486326261430197,20.96426981382385,19.867178002959495,21.583418072294553,1
2026-05-11,20.720535824130774,20.700000762939453,20.824574113849994,20.75082324229876,20.75082324229876,20.37233056809232,20.412866115376822,21.0887803692207,19.537258251127874,21.96438823346965,2
2026-05-12,20.731727645059383,20.700000762939453,20.887141640555967,20.776572305794534,20.776572305794534,20.402911994280085,20.362661047846654,21.190483563742415,19.29026480675761,22.26287980483146,3
2026-05-13,20.743513723163513,20.700000762939453,20.94989715167769,20.80254128212005,20.80254128212005,20.433539327028445,20.3245977297264,21.2804848345137,19.086301212784992,22.518781351455107,4
2026-05-14,20.75587820424924,20.700000762939453,21.01284121201519,20.82872634683762,20.82872634683762,20.46421263524891,20.29436921055765,21.363083483117588,18.90991161646655,22.747541077208687,5
2026-05-15,20.768805695964705,20.700000762939453,21.075974388065433,20.855123793561617,20.855123793561617,20.494931987956438,20.269764878952817,21.440482708170418,18.753167570566763,22.95708001655647,6
2026-05-18,20.782281254409817,20.700000762939453,21.139297248027436,20.881730030555627,20.881730030555627,20.525697454269583,20.24947014037544,21.513989920735813,18.611357823783223,23.15210223732803,7
2026-05-19,20.79629037113425,20.700000762939453,21.202810361807362,20.908541577428366,20.908541577428366,20.55650910341066,20.232627323584488,21.584455831272244,18.481411595086588,23.335671559770145,8
2026-05-20,20.810818960512535,20.700000762939453,21.26651430102366,20.93555506192546,20.93555506192546,20.587367004705893,20.21863973333498,21.652470390515937,18.361194957922876,23.509915165928042,9
2026-05-21,20.82585334748524,20.700000762939453,21.33040963901222,20.962767216814335,20.962767216814335,20.618271227585574,20.207072107536355,21.718462326092315,18.249153401442296,23.676381032186374,10
2026-05-22,20.841380255655693,20.700000762939453,21.39449695083151,20.990174876859484,20.990174876859484,20.649221841584215,20.19759515972983,21.78275459398914,18.144112696780525,23.836237056938444,11
2026-05-25,20.857386795731898,20.700000762939453,21.458776813267765,21.017774975885544,21.017774975885544,20.68021891634071,20.189952459989783,21.845597491781305,18.045159977811693,23.990389973959395,12
2026-05-26,20.873860454303628,20.700000762939453,21.52324980484019,21.045564543925593,21.045564543925593,20.711262521598492,20.183939551459233,21.907189536391954,17.951568758428884,24.139560329422302,13
2026-05-27,20.890789082944995,20.700000762939453,21.58791650580614,21.073540704452192,21.073540704452192,20.742352727205684,20.17939019281485,21.967691216089534,17.862749537999726,24.28433187090466,14
2026-05-28,20.90816088763305,20.700000762939453,21.652777498166365,21.101700671688814,21.101700671688814,20.773489603115262,20.1761669622649,22.027234381112727,17.778216068374547,24.42518527500308,15
2026-05-29,20.925964418473246,20.700000762939453,21.717833365670227,21.130041747999286,21.130041747999286,20.80467321938521,20.174154643211985,22.085928852786587,17.697561609329174,24.562521886669398,16
2026-06-01,20.944188559722882,20.700000762939453,21.78308469382097,21.15856132135302,21.15856132135302,20.835903646178682,20.173255446552044,22.143867196153995,17.620441778960114,24.696680863745925,17
2026-06-02,20.962822520103842,20.700000762939453,21.848532069881003,21.18725686286379,21.18725686286379,20.867180953764148,20.173385482097974,22.201128243629608,17.546561889351125,24.827951836376457,18
2026-06-03,20.981855823396298,20.700000762939453,21.914176082877137,21.21612592439996,21.21612592439996,20.898505212515563,20.17447210159958,22.257779747200342,17.475667411856588,24.956584436943334,19
