Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change (Rs.),Change (%)
JETWING SYMPHONY PLC,JETS.N0000,20207,8,14.1,14.1,14.1,14,14.1,0,0.00
JF PACKAGING PLC,JFP.N0000,7800,15,16,16,16.5,16,16.5,0.5,3.13
JOHN KEELLS HOLDINGS PLC,JKH.N0000,3769564,147,19.8,19.9,20,19.8,20,0.2,1.01
JOHN KEELLS HOTELS PLC,KHL.N0000,128798,38,16.5,16.5,16.8,16.5,16.7,0.2,1.21
JOHN KEELLS PLC,JKL.N0000,20,1,80,78.1,78.1,78.1,78.1,-1.9,-2.38
KAPRUKA HOLDINGS PLC,KPHL.N0000,6022,7,19,19,20,19,19.9,0.9,4.74
KEELLS FOOD PRODUCTS PLC,KFP.N0000,6,1,167.25,170,170,170,170,2.75,1.64
KELANI CABLES PLC,KCAB.N0000,43781,59,98,98,99,97.1,97.2,-0.8,-0.82
KELANI TYRES PLC,TYRE.N0000,14568,70,93.4,93.6,93.6,92.9,93,-0.4,-0.43
KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,125,3,82,82,82,82,82,0,0.00
KERNER HAUS GLOBAL SOLUTIONS PLC,CPRT.N0000,6524,27,30.3,30,31.3,29.7,31.3,1,3.30
KOTAGALA PLANTATIONS PLC,KOTA.N0000,7590,12,8,8,8.1,8,8.1,0.1,1.25
KOTMALE HOLDINGS PLC,LAMB.N0000,53,8,1231,1350,1350,1345,1345,114,9.26
L O L C HOLDINGS PLC,LOLC.N0000,1786,12,475,475,475,473,474,-1,-0.21
L V L ENERGY FUND PLC,LVEF.N0000,501,7,6.8,6.8,6.8,6.7,6.8,0,0.00
LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,2005,12,40,40,40,39.7,40,0,0.00
LANKA ASHOK LEYLAND PLC,ASHO.N0000,3,3,2871.75,2755.25,2899.5,2755.25,2894.75,23,0.80
LANKA CREDIT AND BUSINESS FINANCE PLC,LCBF.N0000,266914,39,6.1,6.1,6.2,5.9,5.9,-0.2,-3.28
LANKA IOC PLC,LIOC.N0000,8748,80,133.25,134,134,131.5,131.75,-1.5,-1.13
LANKA MILK FOODS (CWE) PLC,LMF.N0000,89001,86,87,87,87,86,86.7,-0.3,-0.34
LANKA REALTY INVESTMENTS PLC,ASCO.N0000,6005,6,55,55.5,55.5,54.5,55.5,0.5,0.91
LANKA TILES PLC,TILE.N0000,4830,16,42.8,42.8,42.8,42.5,42.6,-0.2,-0.47
LANKA VENTURES PLC,LVEN.N0000,507,6,50,50,50,50,50,0,0.00
LANKA WALLTILE PLC,LWL.N0000,34671,12,44,44,44.1,43.9,43.9,-0.1,-0.23
LANKEM CEYLON PLC,LCEY.N0000,50,1,37,37,37,37,37,0,0.00
LAUGFS GAS PLC,LGL.N0000,11006,26,44.9,46.9,47,44,44.9,0,0.00
LAUGFS GAS PLC,LGL.X0000,205,2,35,35,35,35,35,0,0.00
LAUGFS POWER PLC,LPL.N0000,642,4,10.7,10.7,10.7,10.6,10.6,-0.1,-0.93
LAUGFS POWER PLC,LPL.X0000,26364,8,8.8,8.7,8.7,8.6,8.6,-0.2,-2.27
LAXAPANA PLC,LITE.N0000,1,1,45,43.3,43.3,43.3,43.3,-1.7,-3.78
LB FINANCE PLC,LFIN.N0000,8694,35,157,158,158,156.25,157,0,0.00
LEE HEDGES PLC,SHAW.N0000,25000,1,307,305,305,305,305,-2,-0.65
LION BREWERY (CEYLON) PLC,LION.N0000,20,5,1726.5,1760,1760,1738,1738,11.5,0.67
LOLC FINANCE PLC,LOFC.N0000,33096,17,5.1,5.2,5.2,5,5.1,0,0.00
LOLC GENERAL INSURANCE PLC,LGIL.N0000,36,2,7.1,7.2,7.2,7.2,7.2,0.1,1.41
LOTUS HYDRO POWER PLC,HPFL.N0000,480,5,12.5,12.3,12.3,12.3,12.3,-0.2,-1.60
LUMINEX PLC,LUMX.N0000,1651,3,9.4,9.2,9.5,9.2,9.5,0.1,1.06
MADULSIMA  PLANTATIONS  PLC,MADU.N0000,105,2,9.9,9.8,9.9,9.8,9.9,0,0.00
MAHARAJA FOODS PLC,MFPE.N0000,1540,8,16.2,16.4,16.4,16.1,16.3,0.1,0.62
MARAWILA  RESORTS  PLC,MARA.N0000,3000,1,5.5,5.5,5.5,5.5,5.5,0,0.00
MASKELIYA PLANTATIONS PLC,MASK.N0000,942,11,64.8,64.8,64.8,62.7,64.8,0,0.00
MELSTACORP PLC,MELS.N0000,1457,20,192,191.75,192,191,191.5,-0.5,-0.26
MERCANTILE INVESTMENTS AND FINANCE PLC,MERC.N0000,19427,15,23.6,23.5,23.7,23.2,23.5,-0.1,-0.42
MERCANTILE SHIPPING COMPANY PLC,MSL.N0000,329,16,206,187.75,207.5,187.75,206.5,0.5,0.24
MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,4,1,10.8,10.5,10.5,10.5,10.5,-0.3,-2.78
MILLENNIUM HOUSING DEVELOPERS PLC,MHDL.N0000,18716,5,8.5,8.8,8.9,8.5,8.5,0,0.00
MULLER & PHIPPS (CEYLON) PLC,MULL.N0000,103676,9,2.2,2.2,2.2,2.1,2.2,0,0.00
NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,100,2,66,65.6,65.6,65.6,65.6,-0.4,-0.61
NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,42429,41,112,113,113,111,111,-1,-0.89
NATIONS TRUST BANK PLC,NTB.N0000,1299,28,306,305.5,313,305.25,305.5,-0.5,-0.16
NAWALOKA HOSPITALS PLC,NHL.N0000,4519,8,13,12.9,12.9,12.8,12.8,-0.2,-1.54
ODEL PLC,ODEL.N0000,4332,9,10.5,10.8,11.4,10.7,11.4,0.9,8.57
ON'ALLY HOLDINGS PLC,ONAL.N0000,210,6,47.9,47.9,47.9,47,47,-0.9,-1.88
OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,158947,54,50.8,51,51.2,50.7,51.1,0.3,0.59
PAN ASIA BANKING CORPORATION PLC,PABC.N0000,18747,13,56,55,56,55,55.2,-0.8,-1.43
PANASIAN POWER PLC,PAP.N0000,3664,16,15.8,15.6,16,15.5,15.6,-0.2,-1.27
PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,40709,23,19.6,19.6,19.6,19.5,19.5,-0.1,-0.51
PGP GLASS CEYLON PLC,GLAS.N0000,42,4,56.3,55.7,56.5,55.7,55.7,-0.6,-1.07
PMF FINANCE PLC,PMB.N0000,3001,7,10.2,10.1,10.5,10.1,10.5,0.3,2.94
PRIME LANDS RESIDENCIES PLC,PLR.N0000,23731,48,42.6,43,43.1,42,42.1,-0.5,-1.17
PRINTCARE PLC,CARE.N0000,2240,7,40.1,40.7,40.7,38.5,38.5,-1.6,-3.99
R I L PROPERTY PLC,RIL.N0000,128876,68,24.1,24.1,24.9,23.9,23.9,-0.2,-0.83
RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000,281,12,19.5,19.1,20.1,19.1,19.9,0.4,2.05
RAMBODA FALLS PLC,RFL.N0000,205,3,23.2,23.2,23.9,23.2,23.9,0.7,3.02
RENUKA AGRI FOODS PLC,RAL.N0000,60157,30,11.1,11.4,11.4,11,11.1,0,0.00
RENUKA CITY HOTELS PLC.,RENU.N0000,32,4,782.75,785,785,785,785,2.25,0.29
RENUKA FOODS PLC,COCO.N0000,12629,13,26.3,25.7,26.7,25.5,26.5,0.2,0.76
RENUKA FOODS PLC,COCO.X0000,325,4,22.5,21.6,22.4,21.5,21.7,-0.8,-3.56
RENUKA HOLDINGS PLC,RHL.X0000,18,1,32.1,33,33,33,33,0.9,2.80
RENUKA HOLDINGS PLC,RHL.N0000,935,3,44.6,43.8,45,43.8,45,0.4,0.90
RESUS ENERGY PLC,HPWR.N0000,242,4,8.6,8.6,8.8,8.6,8.8,0.2,2.33
RICHARD PIERIS AND COMPANY PLC,RICH.N0000,1095,8,26.2,26.5,26.5,26.1,26.5,0.3,1.15
RICHARD PIERIS EXPORTS PLC,REXP.N0000,100,3,338.75,340,340,340,340,1.25,0.37
ROYAL CERAMICS LANKA PLC,RCL.N0000,7912,11,45.4,45.4,45.9,45.4,45.6,0.2,0.44
SAMPATH BANK PLC,SAMP.N0000,20390,155,140,140,140,139.5,139.5,-0.5,-0.36
SAMSON INTERNATIONAL PLC,SIL.N0000,1400,8,563.25,553.5,555,551.5,555,-8.25,-1.46
SARVODAYA DEVELOPMENT FINANCE PLC,SDF.N0000,9201,5,39,39.5,39.5,39,39,0,0.00
SATHOSA MOTORS PLC,SMOT.N0000,24,3,1566,1540,1540,1540,1540,-26,-1.66
SENKADAGALA FINANCE COMPANY PLC,SFCL.N0000,85,11,360,350,373.5,350,351,-9,-2.50
SERENDIB HOTELS PLC,SHOT.N0000,499,4,16.8,16.8,17,16.8,16.8,0,0.00
SEYLAN BANK PLC,SEYB.X0000,12636,18,69.1,69.1,69.4,69,69,-0.1,-0.14
